Name,X,Y,Z
Col 285 Sector TO-P c6-12,60.25,127.50,-89.22
Col 285 Sector TU-E c12-16,78.63,72.59,168.94
Col 285 Sector TU-E c12-6,71.22,66.44,160.81
Col 285 Sector TY-S A33-4,126.44,-41.75,-80.31
Col 285 Sector TY-W b16-3,158.41,-0.03,1.03
Col 285 Sector UE-G c11-14,126.56,-13.56,127.69
Col 285 Sector UG-P b21-1,33.78,127.03,101.72
Col 285 Sector UJ-Q d5-95,144.56,57.56,124.19
Col 285 Sector UK-E c12-31,-29.81,-5.75,169.72
Col 285 Sector UP-N c7-13,-137.53,83.75,-25.34
Col 285 Sector UZ-P d5-63,-186.44,-31.78,129.72
Col 285 Sector UZ-P d5-64,-186.09,-40.97,127.25
Col 285 Sector UZ-P d5-65,-191.38,-47.56,127.78
Col 285 Sector UZ-P d5-75,-149.03,-102.09,126.94
Col 285 Sector UZ-P d5-84,-156.56,-86.63,81.72
Col 285 Sector UZ-P d5-87,-214.69,-68.16,118.13
Col 285 Sector VK-E c12-24,-3.22,-20.25,169.09
Col 285 Sector VM-O b21-3,-109.06,44.72,98.03
Col 285 Sector VP-E c12-23,76.91,36.06,161.38
Col 285 Sector VP-O d6-87,-136.75,57.09,192.16
Col 285 Sector VP-O d6-89,-76.19,86.72,211.47
Col 285 Sector VP-O d6-91,-118.69,104.13,202.03
Col 285 Sector VP-O d6-99,-88.34,75.78,204.00
Col 285 Sector VZ-P d5-102,-122.06,-71.16,110.59
Col 285 Sector WP-O d6-93,-62.31,92.59,182.19
Col 285 Sector XJ-W B16-2,117.75,-48.66,-80.31
Col 285 Sector XJ-W B16-3,120.25,-51.66,-80.31
Col 285 Sector XK-O d6-123,-111.25,52.34,180.28
Col 285 Sector XK-O d6-53,-121.28,30.88,165.31
Col 285 Sector XK-O d6-59,-106.22,38.47,191.66
Col 285 Sector XK-O d6-63,-139.50,3.13,159.72
Col 285 Sector XK-O d6-69,-136.16,-3.78,151.66
Col 285 Sector XU-P d5-102,-122.03,-165.59,124.81
Col 285 Sector XU-P d5-104,-114.00,-145.97,63.91
Col 285 Sector XU-P d5-99,-111.94,-178.69,88.38
Col 285 Sector XV-L c8-11,-174.72,69.28,-21.59
Col 285 Sector YF-N c7-31,-142.75,-5.75,-56.63
Col 285 Sector YK-O d6-125,-9.66,19.47,205.31
Col 285 Sector YK-O d6-132,-24.00,32.06,164.84
Col 285 Sector YK-O d6-138,2.56,-1.00,197.31
Col 285 Sector YK-O d6-148,-38.63,21.75,151.84
Col 285 Sector YK-O d6-80,9.22,21.22,184.50
Col 285 Sector YK-O d6-92,-3.25,9.91,193.72
Col 285 Sector YK-O d6-94,-32.13,-11.69,182.03
Col 285 Sector YK-O d6-99,-1.47,40.34,175.03
Col 285 Sector YM-N b22-0,33.66,134.72,130.38
Col 285 Sector YU-N c7-13,126.78,128.53,-51.28
Col 285 Sector YU-P d5-73,-51.34,-173.78,77.53
Col 285 Sector ZA-E c12-17,-1.72,-71.13,157.72
Col 285 Sector ZC-O b21-5,-119.34,-0.56,102.34
Col 285 Sector ZE-P c6-22,136.78,42.16,-71.28
Col 285 Sector ZF-O d6-110,-135.09,-96.34,211.00
Col 285 Sector ZF-O d6-111,-142.00,-92.22,196.34
Col 285 Sector ZF-O d6-113,-89.66,-58.81,153.97
Col 285 Sector ZF-O d6-59,-93.81,-66.06,175.00
Col 285 Sector ZF-O d6-68,-89.34,-27.53,157.75
Col 285 Sector ZF-O d6-69,-84.81,-33.97,152.19
Col 285 Sector ZF-O d6-71,-79.78,-102.59,179.34
Col 285 Sector ZF-O d6-93,-111.50,-30.69,161.81
Col 285 Sector ZK-O d6-117,92.78,-20.53,162.44
Col 285 Sector ZK-O d6-132,60.50,50.16,210.78
Col 285 Sector ZK-O d6-84,51.19,46.13,183.22
Col 285 Sector ZK-O d6-85,42.91,-12.59,200.78
Col 285 Sector ZK-O d6-97,91.25,-17.06,176.00
Col 285 Sector ZX-F B12-4,-322.34,34.53,-95.72
Colabri,150.09,81.00,12.22
Colai,-148.56,6.34,79.25
Colando Po,94.28,43.56,70.81
Colanja,-18.16,8.88,12.25
Collangbaka,38.47,-62.28,-32.00
Collottung,68.88,-92.25,-73.56
Coma,86.00,-15.47,23.28
Comam,31.97,-24.13,147.16
Coman,78.38,-157.03,-21.19
Comana,-108.59,21.16,98.06
Comane,27.09,-90.91,-112.66
Comanes,90.31,-97.13,-33.19
Comanga,-91.19,-69.66,60.88
Comasci,170.47,-118.22,77.88
Comaucate,65.28,-197.63,62.00
Comecab,97.69,-43.38,67.84
Concani,-60.53,135.41,16.53
Concantae,103.13,-85.59,-68.09
Concateneg,9.38,-112.38,112.50
Concheliga,23.00,26.22,-175.75
Conchucos,29.16,-58.13,81.22
Condani,-109.56,131.53,-36.47
Condharwal,-15.09,14.94,-81.25
Condi,106.72,-16.78,37.22
Condovichs,64.94,-93.53,25.47
Coni,91.91,-59.75,-36.38
Coniaci,174.72,-155.63,114.34
Conian,-105.69,-17.59,117.66
Conii,96.66,-172.75,135.25
Conneda,-10.56,-3.66,41.75
Connla,-29.91,14.56,13.66
Contegus,-81.81,-15.81,39.19
Contie,-3.19,-196.75,43.03
Contien,41.13,13.56,109.94
Contii,-80.56,-23.75,119.59
Contiku,-16.06,-143.09,59.03
Conven,-7.56,-96.72,164.47
Conventes,1.03,106.78,-64.03
Convoumia,41.13,-5.94,13.16
Convoumis,151.41,-65.91,53.66
Cook,142.28,-66.41,27.88
Cook Odua,47.72,-33.97,142.75
Copian Xing,-83.66,-26.81,-45.22
Copitanii,104.81,-42.84,31.13
Copityar,122.53,-61.09,-49.13
Coqualki,144.56,-3.75,72.91
Coqueelgovi,-10.81,-138.59,97.13
Coquenchel,-43.69,110.47,38.31
Coquenexo,14.66,43.22,104.34
Coquessa,-66.66,-55.78,-12.44
Coqui Renes,-102.19,20.19,-23.13
Coqui Xee,23.84,-70.31,-44.47
Coquiabayo,121.91,-45.06,80.00
Coquim,20.75,-82.25,33.59
Cor Caroli,-19.78,112.69,-9.56
Coras,40.34,-131.84,-33.88
Coratha,72.25,111.59,56.78
Corbago,-88.00,-65.41,115.75
Corbenic,35.72,1.50,-6.44
Corbin,-32.09,-10.25,-15.09
Cordenet,60.94,-70.56,28.56
Cordenses,158.66,-10.16,-50.69
Coriabog,-55.53,-61.34,69.06
Corian Guit,-162.94,25.13,72.53
Coriat,46.69,-226.00,71.00
Coriba,156.41,-160.56,-22.69
Coribes,158.09,8.13,-3.22
Coriccha,-14.41,19.94,7.00
Corin,95.72,-116.44,100.75
Coringha,118.41,-84.75,9.06
Corio,138.59,-141.97,-39.88
Corioru,116.31,-87.44,-45.28
Corioskur,107.78,-91.16,-46.47
Coriosolite,-134.09,-34.75,-93.38
Corisci,57.56,34.28,117.69
Coritab,-33.69,-41.31,102.84
Corithi,-157.50,29.91,28.50
Coritini,-117.44,117.00,-64.28
Coritures,105.69,46.56,104.97
Corn Pin,7.94,-4.72,83.31
Cornacates,150.66,-90.38,47.59
Cornae,59.13,-174.88,-49.69
Cornengu,113.34,-18.13,-150.94
Corngaranga,-47.22,82.03,-9.28
Corngari,84.31,-99.03,93.06
Corngi,-0.19,-134.81,118.91
Cornsar,-94.16,-53.56,-15.91
Corycia,19.38,6.34,43.50
Cosi,24.75,-14.69,-70.75
Cosiao,149.88,-66.69,-21.75
Cotiachis,-8.16,-164.78,75.41
Cotidji,22.97,-17.56,-134.50
Cotigagaial,62.09,121.69,-24.44
Cotiges,-107.81,-68.09,52.94
Cotin,16.88,-17.88,167.34
Cotine,154.59,40.13,55.72
Cotini,-83.00,-38.28,77.47
Cowicas,-90.66,109.66,15.38
Cowini,64.59,-146.69,100.00
Cowiska,-102.91,-22.22,102.84
Cowiskimo,162.72,48.81,15.53
Coyopa,114.31,-99.88,-104.75
Coyotani,174.06,-71.22,124.78
Cozaanat,51.19,-189.41,-37.03
CPC 20 6743,23.72,-55.91,54.94
CPC 22 212,69.81,-58.63,40.31
CPD-23 501,60.59,35.31,0.63
CPD-28 332,9.81,-24.47,-10.66
CPD-51 3323,76.13,6.91,16.19
CPD-59 314,61.53,-58.16,0.78
CPD-60 604,69.25,-34.94,-0.66
CPD-64 4178,35.69,-64.22,56.59
CPD-70 2439,43.81,-28.91,59.00
CPO 24,16.28,-75.94,9.22
CR Draco,-49.47,47.44,4.38
CR Draconis,-48.31,46.16,4.47
Cratanakulu,-93.84,-102.56,-42.72
Crataru,-57.19,84.13,-122.19
Crathajapus,-103.88,-124.53,20.72
Crathiganit,29.72,-18.59,-101.31
Crato,-95.00,28.75,167.50
Crevit,-24.00,-85.47,-1.69
Croatigae,137.75,-100.38,25.09
Crom,53.06,-17.34,8.47
Crom Dubh,36.69,-154.88,-2.47
Croman,137.34,-142.66,-13.44
Cromen,-102.03,-58.84,-46.34
Cromovii,95.97,1.91,-21.72
Cromovit,79.84,-2.50,25.69
Crowfor,4.63,20.38,-83.00
Crucis Sector AL-X B1-5,62.63,36.13,-80.31
Crucis Sector BL-X B1-3,82.66,36.81,-80.31
Crucis Sector BL-X B1-5,81.25,35.63,-80.31
Crucis Sector BV-P A5-4,89.69,-26.47,-80.31
Crucis Sector BV-P A5-5,90.75,-27.13,-80.31
Crucis Sector CL-Y C20,38.88,10.75,-80.31
Crucis Sector CL-Y C33,49.28,3.69,-80.31
Crucis Sector DB-X B1-6,50.06,7.25,-80.31
Crucis Sector DL-Y C20,82.16,-7.41,-80.31
Crucis Sector DL-Y C23,84.22,-16.41,-80.31
Crucis Sector DL-Y C25,65.34,5.75,-80.31
Crucis Sector DL-Y C26,76.97,-17.72,-80.31
Crucis Sector DL-Y C29,74.09,9.16,-80.31
Crucis Sector DL-Y C32,83.72,4.81,-80.31
Crucis Sector DQ-Y B4,81.13,-14.25,-80.31
Crucis Sector EB-X B1-2,67.72,0.81,-80.31
Crucis Sector EB-X B1-6,67.22,-0.16,-80.31
Crucis Sector FB-X b1-2,87.25,11.34,-80.31
Crucis Sector FB-X B1-3,87.47,5.88,-80.31
Crucis Sector FB-X B1-5,79.91,2.72,-80.31
Crucis Sector FB-X B1-8,79.34,-2.75,-80.31
Crucis Sector FM-V B2-1,54.06,22.03,-80.31
Crucis Sector FM-V B2-4,45.84,18.41,-80.31
Crucis Sector GM-V B2-2,69.09,21.66,-80.31
Crucis Sector GW-W B1-8,72.59,-15.78,-80.31
Crucis Sector HH-V B2-6,42.09,11.00,-80.31
Crucis Sector HH-V B2-7,44.66,7.78,-80.31
Crucis Sector HM-V B2-4,80.06,20.28,-80.31
Crucis Sector HW-W B1-6,86.31,-20.88,-80.31
Crucis Sector IH-V B2-4,62.56,-1.31,-80.31
Crucis Sector IH-V B2-5,68.25,9.41,-80.31
Crucis Sector IW-W B1-0,100.69,-22.81,-80.31
Crucis Sector IW-W B1-3,102.69,-21.84,-80.31
Crucis Sector IW-W B1-6,95.06,-20.22,-80.31
Crucis Sector OC-V A2-1,82.47,-25.50,-80.31
Crucis Sector OC-V A2-2,79.94,-27.81,-80.31
Crucis Sector PC-V A2-0,93.38,-27.25,-80.31
Crucis Sector QC-V A2-3,100.06,-31.75,-80.31
Crucis Sector QC-V A2-4,101.78,-30.47,-80.31
Crucis Sector QC-V A2-5,100.66,-27.91,-80.31
Crucis Sector SI-T A3-1,76.56,-25.06,-80.31
Crucis Sector SI-T A3-2,75.22,-25.88,-80.31
Crucis Sector TI-T A3-2,87.75,-33.97,-80.31
Crucis Sector UI-T A3-1,97.28,-34.47,-80.31
Crucis Sector UI-T A3-2,101.63,-29.75,-80.31
Crucis Sector UI-T A3-3,98.00,-30.06,-80.31
Crucis Sector VD-T A3-2,87.69,-36.59,-80.31
Crucis Sector WO-R A4-2,78.19,-27.56,-80.31
Crucis Sector WO-R A4-3,84.44,-28.06,-80.31
Crucis Sector WO-R A4-4,81.16,-30.75,-80.31
Crucis Sector WO-R A4-5,83.00,-28.69,-80.31
Crucis Sector XO-R A4-1,87.41,-33.16,-80.31
Crucis Sector XO-R A4-2,89.97,-33.53,-80.31
Crucis Sector XO-R A4-3,86.50,-27.69,-80.31
Crucis Sector XO-R A4-5,85.06,-26.66,-80.31
Crucis Sector YE-A D101,80.97,40.91,-80.31
Crucis Sector YE-A D135,69.69,-11.75,-80.31
Crucis Sector YE-A D96,69.84,6.53,-80.31
Crucis Sector YO-R A4-0,95.44,-33.59,-80.31
Crucis Sector YO-R A4-1,97.00,-34.94,-80.31
Crucis Sector YO-R A4-4,95.63,-33.16,-80.31
CT Pyxidis,99.06,28.63,-53.19
CT Tucanae,66.41,-123.38,51.91
CU Cancri,10.56,14.50,-22.31
Cuachini,-13.22,91.16,128.34
Cuacocha,-27.69,-37.69,10.91
Cuages,-137.78,21.72,-14.91
Cuagsa,-79.63,-37.84,79.59
Cubeo,128.28,-155.63,84.22
Cuberara,-41.22,-99.69,120.75
Cubere,-44.72,-132.00,29.19
Cuchaan,-122.16,-5.81,40.84
Cuchan,95.38,-72.59,-84.13
Cuchoen,63.63,15.13,-48.81
Cuchua,-22.91,-124.16,22.34
Cuic,102.09,0.53,-138.13
Cuicatec,-101.34,-141.22,-39.44
Cuicaure,-101.59,-98.94,-2.34
Cuichit,37.13,-80.78,-79.69
Culann,-36.06,14.63,13.81
Cumalam,-20.66,-73.81,128.31
Cupen,-45.75,51.25,80.59
Cupera,32.66,-204.56,129.09
Cupiaci,99.28,-76.25,131.50
Cupiat,28.44,-6.63,-43.00
Cupinook,44.28,80.94,17.13
Cupis,-72.66,-16.09,56.53
Cupisii,114.97,-11.03,-125.50
Curia,46.47,-112.53,124.81
CW Ursae Majoris,2.66,36.78,-14.91
CX Com,3.97,77.28,-6.22
Cybele,33.13,54.47,25.03
Cynetek,37.28,14.31,100.63
Cynetes,156.88,-172.13,-2.75
Cyneticels,20.72,125.66,-61.72
Czerni,137.09,-209.22,1.09
Czerno,111.63,28.13,-118.31
Czernobog,-62.66,-0.69,-159.19
Czernovale,40.53,37.53,19.50
d Scorpii,24.94,34.47,127.75
Dabakaja,60.59,-115.63,-68.88
Dabalngas,-20.03,160.69,-51.22
Dacian Tse,-30.50,-143.28,-58.59
Dadal,46.03,43.78,55.09
Daesi,86.09,-117.59,-56.94
Daesiri,3.31,15.69,-149.31
Daesitiates,143.47,57.09,80.91
Daesuratun,95.94,-100.84,118.28
Dafnharian,9.19,-81.75,-115.28
Dafnisto,102.72,-152.22,69.38
Daga tri,-23.19,-2.63,-100.94
Dagao,70.16,-204.53,42.25
Dagaz,30.16,55.00,15.31
Dagdhangjel,-17.81,-35.78,10.84
Dagr,-16.28,24.19,48.09
Dagudi,-130.94,5.66,66.84
Daguteni,58.25,-24.72,-147.72
Dagutii,171.78,-152.38,17.38
Daha,-1.63,101.09,86.94
Daha Deti,20.50,-20.91,45.78
Dahaes,88.91,-192.59,111.22
Dahambwe,60.59,42.00,-90.28
Dahan,-19.75,41.78,-3.19
Daibais,-19.59,-103.91,144.63
Daibamba,-116.66,-15.94,-62.31
Daibara,-102.56,76.47,-41.38
Daibo,165.97,-169.28,101.31
Daiburi,125.19,-14.72,48.47
Daibus,117.91,111.66,36.19
Daii,142.72,-45.16,111.69
Daik,-69.06,-22.38,-148.09
Daikonjungu,139.44,-63.91,-53.13
Daiku,24.97,2.84,29.03
Daikul,114.06,106.78,-104.16
Daikulcandi,57.41,-118.44,50.84
Dain,-43.81,-67.50,91.53
Daina,89.38,31.28,138.94
Dainayiman,144.56,-104.69,28.47
Dainbaras,162.78,46.94,-73.25
Dainbing,-58.88,-96.94,-71.31
Daini,137.59,-17.03,-55.97
Dais,100.44,-204.66,28.22
Daisamaskap,-136.13,90.72,32.34
Daisina,78.63,-53.13,-100.47
Daisla,136.16,3.44,-82.84
Daiti,55.50,9.88,-42.53
Dajoar,-35.06,39.19,92.78
Dajoarama,77.66,-44.25,86.34
Dakak,124.75,-141.75,120.94
Dakatipini,26.78,-177.66,132.94
Dakinn,-140.41,-24.16,-59.09
Dakondunii,-87.56,12.44,-141.44
Daksakhi,89.47,58.56,39.66
Dakshalli,121.22,-56.69,24.31
Dakshey,-91.69,-51.25,-95.34
Dakshmandi,106.22,-127.66,37.66
Dakshu,-39.97,49.09,79.41
Dakvar,5.97,-81.44,-31.72
Dala,24.75,25.91,-22.06
Dala2,196.66,-159.16,4.72
Dalagritu,-75.47,178.16,-58.38
Dalam,83.59,14.72,3.53
Dalang,-40.94,0.00,162.84
Dalannovale,98.88,6.72,-34.41
Dalevard,-47.00,36.69,-62.38
Dalfur,-11.09,-40.34,-73.06
Dalia,-2.66,-58.28,16.34
Dall,73.16,-143.91,37.44
Dalla,33.06,67.81,-27.69
Dallean,-148.28,38.47,34.09
Dallenja,-121.66,-36.94,-34.47
Damna,-40.53,4.38,-124.25
Damnet,55.41,-43.41,75.56
Damnon,-28.78,148.06,-37.19
Damocan,-13.25,-29.72,75.13
Damoch,78.75,-26.44,87.25
Damona,78.06,-141.47,61.09
Damontae,134.06,-35.09,-8.97
Damoorai,163.53,-167.63,-12.88
Damovik,-122.13,-127.09,15.38
Dan,-19.38,-101.84,-141.34
Dana,46.09,-192.63,24.16
Dang Po,-61.31,30.28,-144.75
Dangai,-28.78,-9.63,126.16
Dangarla,59.28,-42.13,-26.59
Danggali,-14.03,-76.72,131.25
Dangkhurs,118.34,-222.84,-21.13
Dango,-19.53,-140.38,35.47
Dangtei,146.81,-151.44,23.78
Dangu,4.31,-168.47,-16.72
Dao,-17.38,131.25,83.94
Dao Guaras,-91.00,89.53,67.41
Dao Jungu,15.78,35.34,65.22
Dao Kach,56.38,97.97,11.00
Dao Tiensi,-69.13,-179.56,39.31
Dao Tzu,-36.66,-124.28,-99.19
Dao Zi,12.88,114.38,29.00
Daori,-61.97,115.25,16.53
Darahk,-65.00,27.00,-37.00
Daraj,81.66,-103.56,99.78
Daraki,22.66,129.22,-6.09
Daralas,76.56,-160.13,100.19
Daramo,-5.38,-74.00,21.94
Daras,-107.69,82.78,-21.75
Dari,14.44,-192.53,123.38
Darian,-88.47,-16.91,95.41
Daris,-63.78,88.28,66.97
Darkan,-120.00,-72.78,35.44
Darkates,96.97,-164.41,137.41
Darkinu,-99.88,-23.75,-120.69
Darku,13.22,24.38,142.91
Darudnikepa,-99.16,-6.19,-20.25
Daruwach,-109.88,45.47,-73.84
Daruwutja,-81.75,-48.53,-62.44
Dasar,111.84,-120.25,49.06
Dassapic,79.94,113.31,-3.22
Dassareti,-106.84,22.44,-1.63
Dassi,187.53,-121.25,36.06
Dasyapor,70.69,151.69,69.31
Daurtu,-47.53,48.91,-110.91
Dauruma,54.16,-212.44,-6.81
Dazhbogati,-120.22,-41.09,-17.53
DE Bootis,-7.44,32.63,17.00
Dea Motrona,-12.16,62.63,29.72
Deacon's Star,39.19,-55.06,58.38
Decamandak,-138.94,26.47,112.13
Decan,-0.63,-5.22,134.28
Decantae,145.34,-123.44,76.44
Decean,171.38,-17.66,61.34
Deceangli,11.66,12.66,99.78
Dech,154.25,27.66,58.50
Deche,-170.94,2.59,80.19
Dechengh,96.81,-23.00,-94.44
Decht,20.13,-7.97,156.91
Deciani,46.59,-57.09,72.56
Deciat,122.63,-0.81,-47.28
Decima,35.94,-34.44,-30.44
Decis,-82.56,-64.88,61.59
Dedwender,15.38,57.31,-122.31
Degardhi,33.66,-205.72,-37.69
Degastani,-118.56,-75.56,26.78
Deili,-20.31,73.59,62.47
Deiva,104.44,73.56,82.31
Delkar,67.81,32.66,35.25
Delphin,18.66,16.75,-76.31
Delta Doradus,127.16,-77.88,12.13
Delta Equulei,-47.44,-26.47,26.19
Delta Horologii,112.22,-130.19,-49.31
Delta Leporis,76.00,-42.16,-73.34
Delta Muscae,74.38,-14.19,50.28
Delta Normae,50.63,9.91,110.91
Delta Pavonis,8.38,-10.84,14.47
Delta Phoenicis,53.91,-130.69,14.66
Delta-2 Canis Minoris,76.91,26.72,-109.19
Demeter,-55.34,40.81,7.56
Demeti,83.28,-51.13,102.03
DEN 1048-3956,12.38,3.84,1.88
Deneb Algedi,-16.50,-28.09,20.88
Denebola,11.09,33.91,-3.50
Denka,74.06,-138.59,33.94
Deorii,175.88,-136.75,42.41
Deorini,154.56,-69.78,-29.91
Deorinik,-86.31,-18.25,62.53
Deoriorii,193.44,-119.09,18.34
Derebititja,-108.19,-89.16,-41.63
Deriv-Dar,-4.47,11.00,-82.72
Derrim,-16.63,-32.41,81.00
Desuanta,-36.91,-110.66,-80.69
Desubi,63.63,-80.91,159.06
Desurinbin,140.50,28.19,-117.06
Desuvit,-60.78,-91.13,-49.94
Detris,67.72,-57.41,-8.59
Detta,-40.13,6.28,92.03
Deurber,11.41,40.72,130.28
Deuriara,-77.88,105.75,-91.22
Deuringas,137.31,3.84,-35.91
Devadatta,37.31,-44.81,-133.81
Devakak,-67.75,-61.50,-14.34
Devaku,117.25,-72.81,27.34
Devana,-39.50,-97.41,74.38
Devane,20.19,-121.19,-29.00
Devasu,8.53,-65.50,-76.06
Devasupai,35.63,-33.69,115.84
Devata Baru,-133.16,-7.69,63.56
Devataru,24.28,19.34,90.94
Devi,-10.28,52.19,18.16
Devis,142.72,-74.09,110.28
Devithim,171.44,-66.84,125.63
Dewi,-40.97,-20.59,88.56
Dewi'xil,57.22,-196.88,81.63
Dewi'xilaga,151.38,-80.59,28.19
Dewikum,19.38,-0.28,-68.94
Dewindji,109.25,-1.03,-78.22
Deyus,-34.72,-51.44,0.91
Deywotho,-140.31,-6.59,-13.88
DG Canum Venaticorum,-3.13,25.53,2.69
DH leonis,29.28,81.53,-56.34
Dhak,-58.09,-150.41,-7.94
Dhakhan,-98.41,-14.47,-67.25
Dhaku,-71.09,41.56,-133.88
Dhakua,89.78,-182.38,165.84
Dhakya,-127.63,-100.06,41.53
Dhan,0.88,-219.47,60.81
Dhanchu,-118.91,47.47,76.34
Dhang,128.41,-48.50,60.50
Dhang K'an,106.50,82.91,-60.56
Dhang Tzela,110.03,-166.19,-86.88
Dhanga,115.97,-164.75,119.59
Dhangba,-97.03,-1.16,-82.19
Dhangguang,64.50,-236.97,46.31
Dhanhopi,-6.91,79.63,-27.63
Dhanka,-70.31,-111.91,22.53
Dhankomi,-120.00,-88.81,78.81
Dhar,149.47,76.97,32.19
Dharaces,107.69,8.69,120.94
Dharai,-106.88,27.66,32.66
Dharani,138.53,-66.94,-74.38
Dharasir,21.16,-100.91,18.09
Dharawal,-106.13,2.66,73.09
Dharelbici,-144.28,-14.19,49.53
Dharina,-122.38,-21.56,39.69
Dharipai,-95.03,44.53,32.44
Dharm,-60.41,15.78,78.66
Dharragense,-46.03,58.06,-93.50
Dharuek,-43.13,-14.41,104.94
Dharuwar,142.91,74.38,35.91
Dhata,-22.69,133.91,-30.41
Dhathaarib,68.53,28.22,45.47
Dhathaut,-23.63,61.00,106.47
Dheneb,-24.94,-118.00,-28.63
Dhodia,6.66,25.63,107.22
Dhor,-25.53,35.00,154.38
Dhorai,91.47,54.72,-11.75
Dhrites,131.75,-84.13,-50.13
Dhrutin,-62.56,-42.44,5.13
Dhruva,76.28,-134.75,118.75
Di Jian,-5.72,125.81,10.19
Di Kian,33.06,158.38,-59.84
Di Kuana,-35.75,-37.78,100.59
Di Kun,128.63,-88.47,6.25
Di Yi,-45.91,-61.78,-116.38
Di Yomi,104.59,-178.84,57.75
Di Yomis,184.22,-120.88,88.16
Diaba,164.00,-99.69,6.97
Diabak,35.84,-22.00,-24.16
Diabanda,91.22,-25.97,-57.53
Diabingo,15.31,-142.88,152.13
Diabozo,-159.34,28.94,-89.03
Diaguan,-122.94,-24.47,-60.78
Diaguandri,-41.06,-62.16,-103.25
Diaguthivar,-8.69,2.06,-108.38
Diakas,-20.97,76.00,-97.63
Dian,48.38,-105.34,-80.66
Dian Cecht,-9.31,1.03,132.47
Didarengu,27.38,18.19,-89.47
Didavas,99.72,-10.78,42.25
Didawar,113.38,-118.31,145.31
Didayac,27.31,-42.88,-44.84
Didio,73.00,68.00,33.03
Didiomanja,77.69,-73.81,-91.09
Diegakul,88.59,-24.03,84.75
Dierfar,73.38,38.72,10.81
Dierites,23.69,-75.97,-17.03
Dieslic,-112.38,0.22,-58.25
Dietri,-5.38,71.56,-54.25
Dievantja,160.94,-119.38,79.84
Dievat,85.53,-84.38,-3.13
Difu,-34.41,1.44,-27.88
Dijkstra,103.75,57.47,73.38
Dijuhte,65.06,-251.22,-25.59
Dilati,-15.19,64.72,-64.09
Dilga,10.13,-124.94,25.69
Dilgaenses,135.69,-220.09,15.94
Dilgariang,32.84,-47.56,-72.91
Dilwa,-133.91,-1.22,-33.38
Dilwanes,120.44,16.13,-87.84
Dilwicani,93.44,-189.28,5.25
Dimai,91.22,34.63,-106.84
Dimaratem,-184.38,70.94,9.84
Dimoco,-73.63,22.16,59.19
Dimocorna,20.31,-51.44,165.38
Dimor,111.25,-80.56,25.72
Dimshi,-21.16,-163.34,18.41
Dimste,70.72,-216.84,-16.81
Dimsti,63.13,-72.59,117.16
Dinda,-21.94,-52.16,-66.63
Dindbhai,-134.94,-55.06,81.31
Dinde,73.63,-229.41,-24.72
Dindjeris,123.28,66.25,29.78
Dinkas,19.41,-163.19,77.56
Diomawi,-46.44,-127.88,111.28
Diousteri,80.94,107.16,-35.13
Dirone,77.25,-44.75,-99.38
Dironii,-33.00,-171.41,59.31
Dis Pater,-3.16,-66.41,95.69
Disci,16.03,97.59,-29.59
Diso,72.16,48.75,70.75
Ditae,0.94,-157.34,-6.22
Ditia,32.47,-39.59,-36.50
Ditian,97.44,-89.09,65.97
Ditibi,68.94,28.47,43.47
Diticush,91.69,-101.16,-86.84
Diviriks,129.13,4.44,105.22
Divja Mocha,58.63,-207.94,49.16
Divja Mu,-92.31,13.44,-16.81
Djabal,150.84,0.72,21.88
Djabara,90.28,-237.44,57.25
Djabe,35.25,-88.25,76.41
Djabea,123.78,-144.81,125.25
Djabelmalo,-88.25,-86.03,-115.75
Djabijabus,-57.34,-99.59,118.53
Djabugandji,1.72,34.78,119.34
Djabushis,-30.97,-31.91,34.06
Djagana,43.84,-44.63,-149.25
Djagh,84.13,-215.97,-3.63
Djaghire,141.50,-173.75,23.34
Djagho,-58.81,-161.75,-20.38
Djaghom Dun,-32.34,155.22,-31.81
Djak,27.66,26.81,74.69
Djakah,105.53,-134.47,101.25
Djakam,24.19,80.50,-60.09
Djakunda,-40.44,-90.44,-34.38
Djalakuru,-70.56,-98.22,124.63
Djali,-81.97,52.31,59.53
Djalibara,2.41,-97.47,46.00
Djalkyries,110.31,-154.00,100.88
Djamaygani,65.78,95.66,82.06
Djambarex,-1.38,-17.38,140.66
Djambe,-56.56,4.53,156.91
Djambiradh,28.53,-89.09,37.44
Djambojai,64.25,49.13,-142.56
Djamburii,14.81,-181.41,50.47
Djamitra,33.69,11.56,99.94
Djand,3.25,-44.06,-92.19
Djandandrun,-104.53,-56.06,-55.75
Djandji,18.97,-54.91,-11.84
Djangandra,-21.41,-219.94,89.22
Djanharu,136.47,-20.06,-40.63
Djapan,-171.06,-20.72,-5.78
Djapati,60.88,-34.09,27.25
Djara,150.13,-19.91,-100.75
Djaracates,56.31,-189.34,89.44
Djari,-54.31,-76.84,151.25
Djau,7.59,-32.56,86.91
Djaui,-80.53,-17.69,107.06
Djaujang,-11.19,-70.56,-98.44
Djaujas,-69.09,75.69,10.22
Djedet,-92.84,22.81,-22.31
Djen,113.44,-170.56,-5.09
Djendege,110.31,-175.66,-52.97
Djendelis,12.22,11.59,69.69
Djenn Crua,57.13,-82.22,-49.13
Djenne,15.38,-35.50,-88.88
Djenni,126.16,-66.69,-3.19
Djera,123.88,-177.88,-9.66
Djerait,163.19,-117.91,-1.78
Djeranses,96.34,-63.03,-40.03
Djerato,151.91,-216.28,31.50
Djeriman,137.44,26.13,-45.78
